root,draft_short_gloss,flag,source_snippet
أله,"Mgh, Msb, and so in some copies of the K,) like , .",,"1 أَلَهَ ذ , (S, and so in some copies of the K,) with fet-h, (S,) or أَلِهَ , (Mgh, Msb, and so in some copies of the K,) like تَعِبَ , aor. اَلَهَ , (Msb,) inf. n."
أنم,Bd and Jel in lv.,,"الأَنَامُ   ذ   (T, M, Msb, K) and   (K) and   , (M, K,) the last allowable in poetry, (M,) i. q.   الخَلْقُ ; (M, K, and Bd and Jel in lv. 9;) i. e. [ Mankind; for such is the general meaning of الخَ"
أني,"Its time came; or it was, or became, or drew, near; syn.",,"1 أَنَى ذ , (S, M, K,) aor. يَأْنِى , (S,) inf. n. إِنٌى (S, M, K) and أَنْىٌ and أَنَآءٌ , (M, K,) or, accord. to [some of the copies of] the M, أَنًى , (TA, [in which this is said to be the right f"
أوه,,CROSS_REF,1 اَوڤهَ and 2: see 5.
أيي,,EMPTY,
بخع,"He slaughtered the beast for slaughter, or the sheep or goat, with much, or extraordinary, effectiveness, or energy, so that he reached the back of the neck, (Z, in the A,) or so that he reached the , (K, TA, [in the CK ,]) cutting the bone of the neck.",,"1 بَخَعَ الذَّبِيحَةَ ذ , (Z, in the Fáïk,) or الشَّاةَ , (Z, in the A,) or بِالشَّاةِ , (O, K,) [aor. بَخَعَ , inf. n. بَخْعٌ ,] He slaughtered the beast for slaughter, or the sheep or goat, with muc"
بدع,He became superlative in his kind; or it became so in its kind; in good or in evil.,,"1 بَدَعَهُ بدع بدعه بدعة دعة : see 4, in two places. -A2- بَدُعَ , aor. بَدُعَ , inf. n. بَدَاعَةٌ and بُدُوعٌ , He became superlative in his kind; or it became so in its kind; (Ks, K;) in good or in "
بدل,,LOW_CONFIDENCE,"1 بَدَلَ بدل بدلة دل , inf. n. بَدَالٌ : see 2, in three places."
برزخ,Kur lv. 20: .,LOW_CONFIDENCE,"بَرْزَخٌ برزخ A thing that intervenes between any two things: (L:) or a bar, an obstruction, or a thing that makes a separation, between two things: (S, A, L, K:) so in the Kur lv. 20: pl. بَرَازِخُ ."
برم,"He was, or became, affected with disgust, loathing, or aversion; (M, * K;) he was vexed, grieved, disquieted by grief, or distressed in mind.",,"1 بَرَمَهُ برم برمه برمة رم رمة : see 4, in two places. -A2- بَرِمَ , aor. بَرَمَ ; and ; He was, or became, affected with disgust, loathing, or aversion; (M, * K;) he was vexed, grieved, disquieted b"
بزغ,"The beginning to rise, or come forth: this is the primary meaning: mentioned by Zj.",,"1 بُزُوغٌ بزوغ [inf. n. of بَزَغَ ] signifies The beginning to rise, or come forth: this is the primary meaning: mentioned by Zj. (TA.) -b2- Hence, (TA,) بَزَغَ , said of a tush, or tusk, or canine to"
بسس,The act of breaking: or breaking in pieces: syn.,,"1 بَسٌّ بس signifies The act of breaking: or breaking in pieces: syn. حَطْمٌ . (TA.) -b2- [And The act of mixing: see بَسِيسَةٌ . This, or the former, is probably the primary signification.] -b3- [And"
بسق,"Msb,) . , The palm-trees were, or became, tall , and full-grown: (JK:) or exceedingly tall .",,"1 بَسَقَ النَّخْلُ بسق النخل , (aor. بَسُقَ , Msb,) inf. n. بُسُوقٌ , The palm-trees were, or became, tall , (JK, S, Msb, K,) and full-grown: (JK:) or exceedingly tall . (Msb.) -b2- بَسَقَ عَلَيْهِمْ "
بسم,"Hence,] (tropical:) I did not taste the thing.",,"1 بَسَمَ بسم بٱسم سم : see 5, with which it is syn. -b2- [Hence,] مَا بَسَمْتُ فِى الشَّىْءِ (tropical:) I did not taste the thing. (K, TA.)"
بصر,He saw; .] he became seeing; syn.,,"1 بَصُرَ بصر , [aor. بَصُرَ ,] (Sb, M, K,) and بَصِرَ , [aor. بَصَرَ ,] (Lh, K, ) inf. n. بَصَرٌ and بَصَارَةٌ and بِصَارَةٌ , (M, K,) [ He saw; i. e.] he became seeing; syn. صَارَ مُبْصِرًا ; (Sb, M,"
بصل,"The act of stripping, or divesting; [ like as when one strips an onion ( ) of its coats; ] as also .",,"2 تَبْصِيلٌ تبصيل The act of stripping, or divesting; [ like as when one strips an onion ( بَصَلَة ) of its coats; ] (K;) as also . (Fr, K.) You say, بَصَّلْتُ الرَّجُلَ عِنْ ثِيَابِهِ [and ] I stripp"
بعث,The removing of that which restrains one from free action.,,"1 بَعْثٌ عث بعث signifies The removing of that which restrains one from free action. (TA.) [And hence,] -b2- بَعَثَهُ , (S, A, &amp;c.,) aor. بَعَثَ , (A, K,) inf. n. بَعَثٌ (Mgh, L, Msb, TA) and بَعَ"
بقل,"Hence,] said of a boy's face, .",,"1 بَقَلَ بقل قل : see 4, in two places. -b2- [Hence,] said of a boy's face, (S, Mgh, K,) aor. بََُقَ , inf. n. بُقُولٌ , (S,) (tropical:) It put forth its beard, (S, TA,) or hair; (K;) as also and ; ("
بنن,,CROSS_REF,1 بَنڤنَ see 4.
تحت,"Msb, K:) and [signifying The location that is beneath, below, or under, ] is opposed to , and is used in relation to that which is separate from another thing; being used in relation to that which is united with [or a part of] another thing.",,"تَحْت حت تحت is the contr. of فَوْق : (Msb, K:) and التَّحْتُ [signifying The location that is beneath, below, or under, ] is opposed to الفَوْقُ , and is used in relation to that which is separate fr"
ترق,"Sk, JK, S) [or collar-bone ].",,"Q. Q. 1 تَرْقَيْتُهُ ترقى ترقية ترقيته ترقيتة , (ISk, JK, S, K,) inf. n. تَرْقَاةٌ , (ISk, S, K,) I hit, or hurt, his (a man's, ISk, JK, S) تَرْقُوَة [or collar-bone ]. (ISk, JK, S, K.)"
تمم,"The thing was, or became, complete, entire, whole, or full; ., without, or free from, deficiency: and sometimes, the thing was, or became, consummate, or perfect; which latter signification is more properly expressed by :] accord.",,"1 تَمَّ الشَّىْءُ ذ , (T, S, M, K, &amp;c.,) aor. تَمِمَ , (T, M, K,) inf. n. تَمَامٌ , (T, S,) or تِمَامٌ , (M,) or both, and تُمَامٌ , (K,) and تَمَامَةٌ (M, K) and تِمَامَةٌ , (K,) and تمُّ and تَم"
تين,"Arabs: and he adds, on the authority of an Arab of the desert, of the Saráh, that it is, in the Saráh, very abundant, and allowed to be commonly taken; and is eaten by the people there in its fresh state, and also dried and stored: (M:) the word is Arabic: (Msb:) [a coll.",,تِينٌ تين The tree of the بَلَس [or common fig; ficus carica ]: or the بلس itself: (M:) [or both; i. e.] a certain well-known kind of tree; and the fruit thereof: (TA:) [or the latter only;] a certain
تيه,,EMPTY,
ثبي,"1 , or , I sent him good after good, or evil [after evil]. [See also 2.]...",LOW_CONFIDENCE,"1   ثَبَوْتُ لَهُ خَيْرًا بَعْدَ خَيْرٍ   ثبوت له خيرا بعد خير   , or شَرًّا , I sent him good after good, or evil [after evil]. (TA.) [See also 2.]  2   تَثْبِيَةٌ   تثبيه   تثبية   وثب   , [inf. n. "
ثري,"The earth, or land, became moist and soft, after drought and dryness: (M, K:) or became watered by rain that penetrated to its moistness.",,"1 ثَرِيَتِ الأَرْضُ ذ , aor. ثَرَىَ , inf. n. ثَرٌى , The earth, or land, became moist and soft, after drought and dryness: (M, K:) or became watered by rain that penetrated to its moistness. (Msb.) -"
ثمر,"Also It (fruit) was, or became, ripe.",,"1 ثَمَرَ ثمر : see 4, in three places. -b2- Also It (fruit) was, or became, ripe. (T.) -b3- ثَمَرَ لِلْغَنَم He collected trees (which are called ثَمَر , TA [or rather shrubs]) for the sheep or goats."
ثيب,,EMPTY,
جبي,He cut it; or cut it off; as also .,,"1   جَبَّهُ   جب   جبه   جبة   , aor.   جَبُبَ   , (Msb, TA,) inf. n. جَبٌّ (S, A, Mgh, Msb, K) and جِبَابٌ , (A, K, MF,) He cut it; or cut it off; (S, A, Mgh, Msb, K;) as also   . (K, * TA.) -b2- جَب"
جحم,"Ham p. 810.) -A2- , .",,"1 جحُمَتِ النَّارُ جحمت النار , aor. جَحُفَ , inf. n. جُحُومٌ ; and جَحِمَت , aor. جَحَفَ , inf. n. جَحْمٌ and جَحَمٌ [accord. to the CK جُحْمٌ ] and جُحُومٌ ; The fire burned, burned up, burned brigh"
جرد,"The locusts stripped the land of all its herbage; (A, * L;) ate what was upon the land.",,"1 جَرَدَ جرد , aor. جَرُدَ , inf. n. جَرْدٌ : see 2, in nine places. -b2- جَرَدَ الجَرَادُ الأَرْضَ , (A, L, Msb,) aor. and inf. n. as above, (L,) (tropical:) The locusts stripped the land of all its "
جزع,The act of cutting; or cutting off.,,"1 جَزْعٌ جزع [inf. n. of جَزَعَ ] signifies The act of cutting; or cutting off. (TA.) [See also 8.] -b2- [Hence,] جزَعَ لَهُ جِزْعَةً مِنَ المَالِ He cut off for him a portion of the property. (S.) -b"
جهز,,LOW_CONFIDENCE,"1 جَهَزَ عَلَى الجَرِيحِ جهز علي الجريح : see 4, in two places."
جهل,He was ignorant; he was characterized by in any of the senses assigned to this word below: (TA:) and he was ignorant of it; he did not know it; contr.,,"1   جَهِلَ   جاهل   جهل   ; (S;) and جَهِلَهُ , (Sh, Msb, K,) and جَهِلَ بِهِ (JK) [and مِنْهُ (see جَاهِلٌ )]; aor.   جَََهَ   , (K,) inf. n. جَهْلٌ and جَهَالَةٌ (S, Msb, K) and جُهُولِيَّهٌ ; (TA;)"
جوف,"The being [ hollow, or] wide and hollow within: (PS:) or the being empty, vacant, or void: an .",,"1 جَوَفٌ أجوف جوف The being [ hollow, or] wide and hollow within: (PS:) or the being empty, vacant, or void: an inf. n. of which the verb is of the class of تَعِبَ [i. e. جَافَ , originally جَوِفَ , l"
جوو,"The air: (K:) or [the atmosphere; .] what is between the heaven, or sky, and the earth; the air [or the region ] between the heaven, or sky, and the earth: .",,"جَوٌّ   جو   The air: (K:) or [the atmosphere; i. e.] what is between the heaven, or sky, and the earth; (S, Mgh;) the air [or the region ] between the heaven, or sky, and the earth: pl. أَجْوَآءٌ . "
جيب,"1 , . : in art. , in two places....",LOW_CONFIDENCE,"1 جَابَ جاب جابي , aor. يَجِيبُ : see 1 in art. جوب , in two places."
حرر,"Ks, and mentioned by Zj and IKtt; It (a day, S, A, Msb, K, and food, Msb) was, or became, hot; or very hot.",,"حَرَّ   حر   , see. pers. حَرِرْتَ , aor.   حَرَرَ   ; (S, A, Msb, K;) and حَرَّ , sec. pers. حَرَرْتَ , aor.   حَرِرَ   and   حَرُرَ   ; inf. n. حَرٌّ and حُرُورٌ (S, Msb, K) and حَرَارَةٌ , (S, K,) "
حرض,"His stomach became in a corrupt, or disordered, state: (K:) or he (a man) became in a corrupt, or disordered, state, and sick, or diseased, so as to defile himself in his clothes: [see , below:] or he became emaciated (lit.",,"1 حَرِضَ حرض , (S, Msb, K,) aor. حَرَضَ , (Msb, K,) inf. n. حَرَضٌ , (Msb,) His stomach became in a corrupt, or disordered, state: (K:) or he (a man) became in a corrupt, or disordered, state, and sic"
حرق,He filed it: and he rubbed one part of it with another.,,"1 حَرَقَهُ حرق حرقه حرقة , aor. حَرِقَ , inf. n. حَرْقٌ : see 4. -A2- حَرَقَهُ , (S, K,) aor. حَرُقَ , (TA,) inf. n. حَرْقٌ , (S,) He filed it: and he rubbed one part of it with another. (S, K.) -b2- "
حسس,"Yaakoob, S, K;) .",,"1 حَسڤسَ حَسَّ , (first pers. حَسِسْتُ , or حَسَسْتُ , and حَسِيتُ , and حَسَيْتُ , and حَسْتُ ,) as syn. with أَحَسَّ : see 4, throughout. -b2- حَسَّ لَهُ , first pers. حَسَسْتُ , aor. حَسِسَ ; (S, K"
حصي,"He, or it, shaved it off; namely, hair.",,"1   حَصَّهُ   حص   حصه   حصة   , aor.   حَصُصَ   , (TA,) inf. n. حَصٌّ , (A, K,) He, or it, shaved it off; namely, hair. (A, K, TA.) You say also, حَصَّتِ البّيْضَةُ رَأْسَهُ (S, A) [ The helmet rubbe"
حظظ,"He was, or became, fortunate, or possessed of good fortune, in the affair; as also : (K, TA:) or ↓ the latter signifies he was, or became, rich, wealthy, or opulent; or in a state of, or possessed of, competence, or sufficiency; in no need; without wants; or with few wants.",,"حَظَّ   حظ   , sec. pers. حَظِظْتَ , (S, K,) aor. يَحَظُّ , (S,) inf. n. حَظٌّ , (K,) He was, or became, fortunate, or possessed of good fortune, (S, K,) فِى الأَمْرِ   in the affair; (K;) as also   :"
حلي,"See also 2.] -A2- , .",,"1 حَلَيْتُ المَرْأَةَ ذ , aor. حَلِىَ , inf. n. حَلْىٌ , I assigned, or gave, to the woman حُلِىّ [or ornaments ]; and so حَلَوْتُهَا . (S.) [See also 2.] -A2- حَلِيَتْ , (S, Msb, K,) aor. حَلِىَ , (K"
حمم,It (water) became hot.,,"1 حَمَّ حم , (S, K,) see. pers. حَمِمْتَ , aor. حَمَمَ , inf. n. حَمٌّ , (TA,) [or perhaps this should be حَمَمٌ ,] It (water) became hot. (S, K, TA.) -b2- حَمِمْتُ , aor. حَمَمَ , (K,) inf. n. حَمَمٌ"
حنجر,"here mentioned in the K: see art. , in which I have mentioned it as Q. Q., like the two words here following, which are mentioned in the latter art. in the S and K c....",LOW_CONFIDENCE,"حَنْجَرَهُ حنجر حنجره حنجرة , here mentioned in the K: see art. حجر , in which I have mentioned it as Q. Q., like the two words here following, which are mentioned in the latter art. in the S and K &a"
حوط,"He guarded, kept, kept safely, protected, or took care of, him, or it; he defended him, or it; he paid frequent attention to him, or it; he minded, or was regardful of, the things that were for his, or its, good.",,"1 حَاطَ بِهِ حاط به حاط بة , aor. يَحُوطُ : see 4, in three places. -b2- حَاطَهُ , (S, Msb, K,) aor. as above, (S, Msb,) inf. n. حَوْطٌ (S, Msb, K) and حِيطَةٌ and حِيَاطَةٌ , (S, K, TA, [the second a"
حيي,"Basrees, . [ .",LOW_CONFIDENCE,"1   حَيِىَ   حي   حيى   حيي   حييي   , (S, Mgh, Msb, K,) and حَىَّ , (S, K,) which latter is the more common, (Fr, S,) [like مَلَّ , originally مَلِلَ ,] dual حَيِيَا , and حَيَّا , (Fr,) pl. حَيُوا ,"
خبت,"The mention of him, or it, was, or became, concealed: (L:) [app.",,"1 خَبَتَ ذِكْرُهُ ذ The mention of him, or it, was, or became, concealed: (L:) [app. meaning he, or it, was, or became, obscure; or of no reputation, or repute. ] -A2- خَبُثَ , accord. to Z, i. q. خَب"
خبو,"The fire became allayed; subsided; became extinguished; the flaming, or blazing, of the fire ceased, or became allayed or extinguished.",,"1 خَبَتِ النَّارُ خبت النار , aor. تَخْبُو , inf. n. خُبُوٌّ (JK, S, Msb, K) and خَبْوٌ , (K,) The fire became allayed; subsided; (K;) became extinguished; (S, K;) the flaming, or blazing, of the fire"
ختر,"His soul [or stomach ] became heavy; or heaved, or became agitated by a tendency to vomit; syn.",,"1 خَتَرَتْ نَفْسُهُ خترت نفسه خترت نفسة His soul [or stomach ] became heavy; or heaved, or became agitated by a tendency to vomit; syn. خَبُثَتْ : (IAar, K:) and became in a corrupt, or disordered, st"
خردل,Egypt known by the name of .,,"خَرْدَلٌ خردل [Mustard-seed;] the grain of a certain tree, (K,) well known; (S, K;) a species of حُرْف [q. v.]; (JK;) heating; emollient; drawing; a phlegmagogue; lenitive; digestive; used as a linime"
خصف,"The act of adjoining, and putting together.",,"1 خَصْفٌ خصف [inf. n. of خَصَفَ ] signifies The act of adjoining, and putting together. (TA.) -b2- Hence, (TA,) خَصَفَ , (S, Msb, K, TA,) aor. خَصِفَ , (Msb, K,) inf. n. خَصْفٌ , (Msb,) He sewed a sol"
خضر,"1 : , in two places. -A2- : , in two places....",LOW_CONFIDENCE,"1 خَضِرَ خضر خضرة : see 9, in two places. -A2- خَضَرَ : see 8, in two places."
خلل,"Ks, S, K, TA, in the CK ,) [irreg.",,"1 خَلَّ لَحْمُهُ خل لحمه خل لحمة , aor. خَلُلَ , (Ks, S, K, TA, in the CK خَلَلَ ,) [irreg. in the case of an intrans. v. of this class, unless the verb be of the measure فَعُلَ ,] and خَلِلَ , (K,) ["
خمد,"The fire subsided; its flaming; or blazing, ceasing; but its embers remaining unextinguished: (S, Msb, K:) when its embers have become extinguished, you say of it, : (S:) or it died away, and became utterly extinguished.",,"1 خَمَدَتِ النَّارُ خمدت النار , aor. خَمُدَ ; (S, Msb, K;) and خَمِدَت , (A, K,) aor. خَمَدَ ; (K;) inf. n. خُمُودٌ (S, A, Msb, K) and خَمْدٌ ; (IKtt, K;) The fire subsided; its flaming; or blazing, "
خمص,"The man's foot rose from the ground, [or was hollow in the middle of the sole, ] so that it did not touch it.",,"1 خَمِصَتِ القَدَمُ خمصت القدم , aor. خَمَصَ , inf. n. خَمَصٌ , The man's foot rose from the ground, [or was hollow in the middle of the sole, ] so that it did not touch it. (Msb.) -b2- خَمَصَ البَطْن"
خمط,The [ kind of tree called ] : (Bd in xxxiv.,,"خَمْطٌ خمط The [ kind of tree called ] أَرَاك : (Bd in xxxiv. 15:) or a species of the اراك , having a fruit which is eaten: (Lth, S:) or the fruit of the اراك : (IB, K:) or any trees having no thorns"
خنزر,,LOW_CONFIDENCE,خَنْزَرَ خنزر : and خِنْزِيرٌ : see art. خزر .
خوي,"The house became empty, vacant, or un occupied: (S:) in [some of the copies of] the S with teshdeed, [ .",,"1 خَوَتِ الدَّارُ خوت الدار , (JK, S, Msb, K,) aor. تَخْوِى , (Msb,) inf. n. خَوَآءٌ (S, Msb, TA) and خُوِىٌّ , (Msb,) The house became empty, vacant, or un occupied: (S:) in [some of the copies of] "
خيم,"He held back, or refrained, from him, or it, through cowardice, and fear: (JK, K:) ., from war, or from encounter, or conflict.",,"1 خَامَ خام as syn. with خَيَّمَ : see the latter. -b2- خَامَ عَنْهُ , aor. يَخِيمُ , (JK, S, K,) inf. n. خَيْمُومَةٌ (S) and خَيْمٌ and خَيَمَانٌ and خُيُومٌ and خُيومَةٌ and خِيَامٌ , (K, the last b"
دخن,The of the fire rose; [ .,,"1 دَخَنَتِ النَّارُ دخنت النار , aor. دَخَنَ and دَخُنَ , (S, K,) inf. n. دَخْنٌ and دُخُونٌ , (K,) The دُخَان of the fire rose; [i. e. the fire smoked, or sent up smoke; ] as also , (S, K,) of the me"
درك,Golius's Lex.,LOW_CONFIDENCE,"1 دَرَكَ در درك , from which should be derived دَرَاكِ and دَرَّاكٌ , is unused, though its noun درك [i. e. دَرْكٌ or دَرَكٌ , which latter (the more common of the two) see below,] is used. (IB.) [ دَ"
دسو,"He hid it, or concealed it, namely, anything, in the earth or dust, or beneath a thing: (A, Mgh:) he buried it in the earth or dust, or beneath a thing: (K:) or he put it in, or inserted it, beneath: (M:) or, accord.",,"1   دَسَّهُ   س   , (S, M, A, &amp;c.,) aor.   دَسُسَ   , (M, Msb,) inf. n. دَسٌّ (M, A, Mgh, Msb, K) and دَسِّيسَى , (K,) like خِصِّيصَى , (TA,) He hid it, or concealed it, (Lth, S, A, Mgh, Msb, K,) "
دعو,"Fr, K and TA in art.",,"1 دَعَوْتُ ذ and دَعَيْتُ signify the same: (Fr, K and TA in art. دعى :) the aor. of the former is أَدْعُو , (TA in that art.,) sec. pers. fem. sing. تَدْعِينَ and تَدْعُوِينَ and تَدٌعُيْنَ , the las"
دمع,"Msb, TA; [in one copy of the S, , which is a mistake;]) or only , with fet-h to the ; The eye shed tears.",,"دَمَعَتِ العَيْنُ دمعت العين , aor. دَمَعَ , (S, Msb, K,) inf. n. دَمْعٌ (S, Msb) and دَمَعَانٌ and دُمُوعٌ ; (TA;) and دَمِعَت , (AO, S, Msb, K,) aor. دَمَعَ , (Msb, K,) inf. n. دَمَعٌ ; (AO, S, Msb,"
دهر,"An event befell them from fate, or fortune: (A:) or an evil event befell them.",,"1 دَهَرَهُمْ أَمْرٌ ذ , (JK, A, K,) and دَهَرَ بِهِمْ أَمْرٌ , (S, TA,) aor. دَهَرَ , (K,) An event befell them (S, A) from fate, or fortune: (A:) or an evil event befell them. (JK, K.) In a trad. res"
دهق,,EMPTY,
دهي,"He rolled a stone down; (S,* K,* TA;) as also , .",,"R. Q. 1   دَهْدَهَ   دهده   دهدة   , (JK, S, K,) inf. n. دَهْدَهَةٌ , (JK,) He rolled a stone down; (S,* K,* TA;) as also دَهْدَى , (S, K,) inf. n. دَهْدَاةٌ and دِهْدَآءٌ : (S:) or he cast stones, o"
دول,"You say, , . , .",,"1 دَالَ دال i. q. دَارَ . (TA.) You say, دالتِ الأَيَّامُ , (S, Msb, K,) aor. تَدُولُ , (Msb,) inf. n. دَوْلٌ , (KL,) meaning دَارَت ; (S, Msb, K;) [i. e.] The days came round [ in their turns ]. (KL."
ذرع,"You say, The camel stretched forth, or extended, his fore leg in going: and The camel stretched forth, or extended, his arm ( ) in his going.",,"1 ذَرْعٌ ذ , [inf. n. of ذَرَعَ ,] in its primary acceptation, signifies The stretching forth, or extending, the arm, or fore leg: (S, TA:) [or rather, when said of a man, the fore arm; and of a beast"
ذرو,"Aar, but said in the T to be disallowed in this sense by AHeyth; The wind raised it, (T, S, *) or made it to fly, (AHeyth, T, S, * M, K,) and carried it away; (S, * M, Msb, * K;) and dispersed it; namely, a thing, or the dust, c.",,"1 ذَرَتْهُ الرِّيحُ ذ , (T, S, M, Msb, K,) aor. تَذْرُوهُ , (S, M, Msb,) inf. n. ذَرْوٌ ; (S M, Msb, K;) and aor. تَذْرِيهِ , (S, M,) inf. n. ذَرْىٌ ; (S;) and ; and ; (M, K;) the last on the authorit"
ذعن,,LOW_CONFIDENCE,1 ذَعِنَ ذ : see what next follows.
ذكو,"Mgh, K, c.) and accord.",,"1 ذَكَتِ النَّارُ ذ , (S, K, &amp;c.,) aor. تَذْكُو , (S,) inf. n. ذَكًا (S, Mgh, K, &amp;c.) and ذَكَآءٌ accord. to Z (K) and ذُكُوٌّ , (M, K, TA,) like عُلُوٌّ ; (TA; [accord. to the CK ذَكْوٌ ; an"
رأي,"to see; to perceive; to consider; opinion, view, judgment...",LOW_CONFIDENCE,"to see; to perceive; to consider; opinion, view, judgment"
ربص,"1 , or : . -A2- A thing, or an affair, or an event, put me in expectation....",LOW_CONFIDENCE,"1 رَبَصَ بِفُلَانٍ ذ , or بِالشَّىْءِ : see 5. -A2- رَبَصَنِى (K) A thing, or an affair, or an event, put me in expectation. (TA.)"
رتل,"The front teeth were, or became, even in their growth, [or separate, one from another, and even in the manner of growth, well set together, and (accord.",,"1 رَتِلَ الثَّغْرُ ذ , aor. رَتَلَ , inf. n. رَتَلٌ , The front teeth were, or became, even in their growth, (Msb,) [or separate, one from another, and even in the manner of growth, well set together,"
رجس,"The sky thundered vehemently, and became in a state of commotion preparatory to rain; as also .",,"1 رَجَسَتِ السَّمَآءُ ذ , (S, A, K,) aor. رَجُسَ , (S,) inf. n. رَجْسٌ , (S, A,) The sky thundered vehemently, (S, A, K,) and became in a state of commotion (S, K) preparatory to rain; (TA;) as also "
رجو,"Msb, K; *) I hoped for him [or it; relating only to what is possible; syn.",,"1 رَجَوْتُهُ ذ , aor. أَرْجُوهُ , (S, Msb,) inf. n. رَجْوٌ , (S, M, K,) or رُجُوٌّ , (Msb,) and رَجَآءٌ , (S, K, TA, &amp;c., [in the CK erroneously written with the short ا i. e., without the meddeh"
رحق,,CROSS_REF,"رُحَاقٌ ذ : see what follows, in two places."
رعد,"As; The shy thundered: (S, Msb:) or made a sound [ to be heard from the clouds ] previously to rain: (L:) and [in like manner] , .",,"1 رَعَدَتِ السَّمَآءُ ذ , (As, Fr, S, L, Msb,) aor. رَعُدَ (L, Msb) and رَعَدَ , (L,) inf. n. رَعْدٌ and رُعُودٌ ; (Fr, L, Msb;) and , (AO, AA, S, L,) but the latter is disallowed by As; (S, TA;) The"
رغم,His nose clave to the [ .,,"1 رَغِمَ الأَنْفُ ذ , [and, as will be seen from what follows, رَغَمَ , and رَغُمَ , inf. n. رَغْمٌ and رُغْمٌ and رِغْمٌ ,] His nose clave to the رَغَام [i. e. earth, or dust ]. (TA.) -b2- [Hence,] ر"
رفرف,"Its colour shone, or glistened; said of a thing; as also .",,"1 رَفَّ ذ , (T,) or رَفَّ لَوْنُهُ , (S, M, O, K,) aor. رَفِفَ , inf. n. رَفٌّ and رَفِيفٌ , Its colour shone, or glistened; (T, S, M, O, K;) said of a thing; (T;) as also . (K.) Thus رَفَّتْ أَسْنَان"
رمض,"The earth, or ground, and the stones, became vehemently heated by the sun.",,"1 رَمضَت الأَرْضُ ذ , (Mgh,) and الحِجَارَةُ , (A, Mgh,) [aor. رَمَضَ ,] inf. n. رَمَضٌ , (A,) The earth, or ground, (Mgh,) and the stones, (A, Mgh,) became vehemently heated by the sun. (A, Mgh.) -b2"
